"ACELERAÇÃO DE ESTUDOS","ACELERAÇÃO DE ESTUDOS"
"INCENTIVO A LEITURA","PROGRAMA DE INCENTIVO À LEITURA - SEB"
"INDÍGENA","INDÍGENA"
"INEP - PROJETO PRESENÇA","INEP - EDUCACENSO"
"LABORATÓRIO DE CIÊNCIAS","LABORATÓRIO DE CIÊNCIAS"
"LSE - FNDE","LSE - LEVANTAMENTO DA SITUAÇÃO ESCOLAR / FNDE"
"LSE - LEVANTAMENTO DA SITUAÇÃO ESCOLAR / FNDE","LSE - LEVANTAMENTO DA SITUAÇÃO ESCOLAR / FNDE"
"LSE - PMF - FNDE","LSE - LEVANTAMENTO DA SITUAÇÃO ESCOLAR / FNDE"
"LSE - PMQE - FNDE","LSE - LEVANTAMENTO DA SITUAÇÃO ESCOLAR / FNDE"
"LUZ PARA TODOS","LUZ PARA TODOS"
"MAIS EDUCAÇÃO","MAIS EDUCAÇÃO"
"MAIS EDUCAÇÃO - CURSO PARA EQUIPE ESCOLAR","MAIS EDUCAÇÃO - CURSO PARA EQUIPE ESCOLAR"
"MAIS EDUCAÇÃO - CURSO PARA GESTORES MUNICIPAIS","MAIS EDUCAÇÃO - CURSO PARA GESTORES MUNICIPAIS"
"MAPEAMENTO DA FORMAÇÃO INICIAL E CONTINUADA DE TODOS OS PROFISSIONAIS","MAPEAMENTO DA FORMAÇÃO INICIAL E CONTINUADA DE TODOS OS PROFISSIONAIS"
"MATERIAIS ESPORTIVOS","MATERIAIS ESPORTIVOS"
"MEC e MME - Luz para Todos","LUZ PARA TODOS"
"MEC e MS/Funasa","MEC e MS/Funasa"
"MEMÓRIA HISTÓRICA","MEMÓRIA HISTÓRICA"
"MICROPLANEJAMENTO - FNDE","MICROPLANEJAMENTO / FNDE"
"MICROPLANEJAMENTO / FNDE","MICROPLANEJAMENTO / FNDE"
"MÍDIAS NA EDUCAÇÃO","MÍDIAS NA EDUCAÇÃO"
"PAPE - PROGRAMA DE ADEQUAÇÃO DOS PRÉDIOS ESCOLARES","PAPE - PROGRAMA DE ADEQUAÇÃO DOS PRÉDIOS ESCOLARES"
"PAR","PAR - PDE"
"PDDE","PDDE"
"PDE-ESCOLA","PDE-ESCOLA"
"PDE/FNDE/FUNDESCOLA","PDE-ESCOLA"
"PES/FNDE/FUNDESCOLA","PES - PLANEJAMENTO ESTRATÉGICO DA SECRETARIA"
"PES - PLANEJAMENTO ESTRATÉGICO DA SECRETARIA","PES - PLANEJAMENTO ESTRATÉGICO DA SECRETARIA"
"PLANO DE CARGOS E CARREIRA","PLANO DE CARGOS E CARREIRA"
"PLANO DE DESENVOLVIMENTO DA EDUCAÇÃO - PDE","PAR - PDE"
"PMDF - FNDE/FUNDESCOLA","PMFE - PADROES MINIMOS DE FUNCIONAMENTO DAS ESCOLAS"
"PMDF/FNDE/FUNDESCOLA","PMFE - PADROES MINIMOS DE FUNCIONAMENTO DAS ESCOLAS"
"PMFE - PADROES MINIMOS DE FUNCIONAMENTO DAS ESCOLAS","PMFE - PADROES MINIMOS DE FUNCIONAMENTO DAS ESCOLAS"
"PMQAE - PADROES MINIMOS DE QUALIDADE DO AMBIENTE ESCOLAR","PMQAE - PADROES MINIMOS DE QUALIDADE DO AMBIENTE ESCOLAR"
"PMQE - FNDE","PMQAE - PADROES MINIMOS DE QUALIDADE DO AMBIENTE ESCOLAR"
"PNAE","PNAE"
"PNBE","PNBE"
"PRAÇAS DE LEITURA","PRAÇAS DE LEITURA"
"PRADIME","PRADIME"
"PRALER","PRALER"
"PREFEITURA MUNICIPAL","PREFEITURA MUNICIPAL"
"PREFEITURA MUNICIPAL DE GUARUJÁ","PREFEITURA MUNICIPAL"
"PREFEITURA MUNICIPAL DE UBERLÂNDIA","PREFEITURA MUNICIPAL"
"PREF - GESTÃO DEMOCRÁTICA DA EDUCAÇÃO","PREFEITURA MUNICIPAL"
"PREF - QUALIDADE SOCIAL DO ENSINO","PREFEITURA MUNICIPAL"
"Prinfancia","PRO-INFÂNCIA"
"PROCAMPO","PROCAMPO"
"PROFUNCIONÁRIO","PROFUNCIONÁRIO"
"PROFUNCIONÁRIO - ALIMENTAÇÃO ESCOLAR","PROFUNCIONÁRIO - ALIMENTAÇÃO ESCOLAR"
"PROFUNCIONÁRIO - GESTÃO ESCOLAR","PROFUNCIONÁRIO - GESTÃO ESCOLAR"
"PROFUNCIONÁRIO - MEIO AMBIENTE","PROFUNCIONÁRIO - MEIO AMBIENTE  E MANUTENÇÃO E INFRA-ESTRUTURA ESCOLAR"
"PROFUNCIONÁRIO - MEIO AMBIENTE  E MANUTENÇÃO E INFRA-ESTRUTURA ESCOLAR","PROFUNCIONÁRIO - MEIO AMBIENTE  E MANUTENÇÃO E INFRA-ESTRUTURA ESCOLAR"
"PROFUNCIONÁRIO - MULTIMEIOS DIDÁTICOS","PROFUNCIONÁRIO - MULTIMEIOS DIDÁTICOS"
